Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
33591.198,30,,,,,,,,,,,,,,1.1543,1.1272,1.2237,1.0959,1.0599,1.1782,1.0719,1.157,1.0967,1.2112,,,1.1325,1.2299,1.1651,1.2559,1.2207,1.1213,1.1039,1.0834,1.2066,1.0758,,,1.0375,1.1673,1.1717,1.1283,1.0946,1.0908,1.1594,0.4337,1.1,1.1033,,,1.1978,1.2987,1.1153,1.0853,1.1473,1.18,1.1272,1.126,0.9939,0.4071,,,1.1073,0.2994,1.1283,1.1528,0.9897,1.1339,1.1278,0.1735,0.2806,1.1626,,,1.2282,1.2439,1.1263,0.1822,0.1032,0.0948,0.0971,0.094,0.0941,0.107,,,,,,,,,,,,,
34791.115,30,,,,,,,,,,,,,,1.1908,1.1656,1.2545,1.1321,1.0932,1.2114,1.1119,1.1917,1.1345,1.2455,,,1.1707,1.2625,1.1999,1.2888,1.2618,1.1595,1.1375,1.123,1.2426,1.1122,,,1.0731,1.2006,1.2061,1.163,1.1322,1.1278,1.1947,0.4607,1.1404,1.1391,,,1.2335,1.3334,1.1553,1.1251,1.1835,1.2126,1.16,1.16,1.0281,0.4328,,,1.1484,0.3154,1.1681,1.1887,1.0264,1.1691,1.1645,0.1801,0.2973,1.1982,,,1.2665,1.2816,1.1651,0.1902,0.1061,0.0978,0.098,0.0978,0.0963,0.1046,,,,,,,,,,,,,
35991.068,30,,,,,,,,,,,,,,1.2266,1.1992,1.2849,1.1673,1.1264,1.2429,1.1505,1.2219,1.1759,1.2792,,,1.2066,1.295,1.2348,1.3191,1.3015,1.1956,1.1716,1.1597,1.276,1.1534,,,1.1051,1.2355,1.2401,1.1976,1.1706,1.1647,1.2268,0.4907,1.1802,1.1729,,,1.2673,1.3664,1.1902,1.16,1.2168,1.2457,1.1939,1.1946,1.0623,0.4604,,,1.1839,0.3321,1.2044,1.2199,1.0618,1.2022,1.1991,0.1865,0.3125,1.2293,,,1.2991,1.3157,1.2053,0.1964,0.1057,0.0976,0.0978,0.0959,0.0956,0.0975,,,,,,,,,,,,,
37190.961,30,,,,,,,,,,,,,,1.2623,1.2356,1.3155,1.2002,1.1588,1.2743,1.1848,1.2527,1.2089,1.3096,,,1.2406,1.3247,1.263,1.3464,1.3333,1.2292,1.2043,1.1925,1.3049,1.1895,,,1.1355,1.264,1.2719,1.2306,1.2025,1.196,1.2602,0.518,1.2196,1.2069,,,1.2965,1.396,1.2239,1.1955,1.2504,1.276,1.2233,1.2267,1.0953,0.4865,,,1.2161,0.3482,1.2357,1.253,1.0924,1.2322,1.2307,0.1927,0.3278,1.2597,,,1.328,1.348,1.2397,0.2021,0.1052,0.0967,0.0972,0.0956,0.0949,0.097,,,,,,,,,,,,,
38390.875,30,,,,,,,,,,,,,,1.2962,1.2649,1.3449,1.2332,1.1915,1.3013,1.2205,1.282,1.2436,1.3414,,,1.2731,1.3564,1.292,1.3764,1.3686,1.2635,1.2331,1.2249,1.3364,1.2268,,,1.1679,1.297,1.3035,1.2624,1.2376,1.2297,1.2913,0.5458,1.26,1.2392,,,1.3281,1.4252,1.2611,1.2312,1.2825,1.3056,1.254,1.2599,1.1259,0.5152,,,1.2475,0.3662,1.268,1.2837,1.1226,1.2613,1.2608,0.1987,0.3453,1.288,,,1.3604,1.3828,1.2754,0.2091,0.1047,0.0969,0.0972,0.0963,0.0954,0.096,,,,,,,,,,,,,
39590.84,30.1,,,,,,,,,,,,,,1.3268,1.2983,1.372,1.2632,1.2237,1.3312,1.2512,1.3097,1.2804,1.3706,,,1.305,1.3839,1.3196,1.4019,1.4014,1.2943,1.2618,1.2597,1.369,1.2631,,,1.1936,1.3285,1.3328,1.2929,1.2701,1.2634,1.3212,0.5747,1.2962,1.2695,,,1.3573,1.4527,1.2943,1.2606,1.3106,1.3366,1.2842,1.2898,1.1569,0.5432,,,1.2775,0.3832,1.2975,1.3126,1.1547,1.2897,1.2863,0.2051,0.3609,1.3118,,,1.3855,1.4103,1.3052,0.2145,0.1039,0.0957,0.0967,0.0969,0.0948,0.0991,,,,,,,,,,,,,
40790.735,30.1,,,,,,,,,,,,,,1.3591,1.3297,1.3972,1.2948,1.2516,1.3601,1.2821,1.3364,1.3143,1.397,,,1.3369,1.4138,1.3451,1.4248,1.4319,1.3287,1.295,1.2903,1.3972,1.2988,,,1.2268,1.3567,1.3618,1.3214,1.3013,1.2957,1.3509,0.6054,1.3261,1.2996,,,1.3826,1.4757,1.3245,1.2951,1.3403,1.3647,1.3121,1.3189,1.1876,0.5736,,,1.3088,0.4036,1.3314,1.343,1.1834,1.3171,1.3157,0.2127,0.3818,1.3421,,,1.4113,1.4423,1.3378,0.2234,0.105,0.0973,0.0976,0.0959,0.0955,0.0957,,,,,,,,,,,,,
41990.652,30.1,,,,,,,,,,,,,,1.3866,1.361,1.4201,1.3253,1.2813,1.383,1.3143,1.3603,1.3483,1.4217,,,1.3663,1.4393,1.3694,1.4457,1.4613,1.3568,1.3216,1.3211,1.4254,1.329,,,1.2521,1.3902,1.3879,1.3515,1.335,1.3252,1.3787,0.6359,1.3557,1.3286,,,1.4067,1.4988,1.3566,1.3231,1.3697,1.3931,1.3387,1.3474,1.2152,0.6018,,,1.3364,0.4269,1.3604,1.3687,1.2118,1.3425,1.3421,0.2204,0.4025,1.3675,,,1.4383,1.4714,1.3671,0.2313,0.1054,0.097,0.0997,0.0973,0.0971,0.1092,,,,,,,,,,,,,
43190.577,30,,,,,,,,,,,,,,1.4162,1.3882,1.4434,1.3535,1.3097,1.4074,1.3438,1.3854,1.3768,1.4427,,,1.3989,1.4665,1.3946,1.4686,1.4936,1.387,1.3505,1.3507,1.4481,1.3594,,,1.2796,1.4158,1.4107,1.3809,1.3646,1.3559,1.4032,0.6631,1.3854,1.3549,,,1.4298,1.5189,1.3902,1.3535,1.4001,1.4189,1.3653,1.3727,1.2435,0.6313,,,1.3626,0.4459,1.3896,1.3881,1.2377,1.3647,1.3683,0.2279,0.4231,1.3902,,,1.4618,1.4975,1.3967,0.2379,0.106,0.0971,0.0994,0.0983,0.0971,0.1058,,,,,,,,,,,,,
44390.505,30,,,,,,,,,,,,,,1.4432,1.4184,1.4627,1.3811,1.3365,1.4283,1.3745,1.4079,1.4031,1.4616,,,1.4248,1.4855,1.414,1.4858,1.5184,1.415,1.3784,1.3783,1.4661,1.3861,,,1.3027,1.445,1.4287,1.4074,1.3939,1.3838,1.426,0.6927,1.4108,1.3779,,,1.4485,1.538,1.4181,1.3816,1.4253,1.4404,1.3895,1.3956,1.2698,0.6596,,,1.3849,0.4664,1.4165,1.4105,1.2621,1.3869,1.3913,0.2345,0.4423,1.4092,,,1.4813,1.5205,1.4213,0.2432,0.1033,0.0948,0.0952,0.0946,0.0935,0.1071,,,,,,,,,,,,,
